id,RA,Dec,observatory_code,magnitude,band,mjd
533211, 189.72190, 6.17664, F51, 22.904, G, 56811.385
533397, 213.35683, -8.51632, F51, 22.703, G, 56811.385
533563, 236.33989, -17.73971, F51, 22.236, G, 56811.385
533562, 229.87955, -11.05507, F51, 22.379, G, 56811.385
533561, 249.96452, -4.86483, F51, 22.475, G, 56811.385
533560, 242.57129, -2.62371, F51, 22.642, G, 56811.385
533508, 213.84614, -5.97157, F51, 22.668, G, 56811.385
533398, 242.82987, -5.89560, F51, 22.354, G, 56811.385
533507, 229.82296, -1.21327, F51, 22.368, G, 56811.385
533506, 197.64562, 1.68540, F51, 22.783, G, 56811.385
